Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Grade_average_1st_sem,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Grade_average_2nd_sem,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status_at_end_of_course
single,Change of course,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,No,No,No,Yes,Female,No,20,No,0,6,6,5,12.4,0,0,6,9,5,12.4,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,1,Agronomy,Daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,25,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,No,No,No,Yes,Female,No,21,No,0,6,6,6,15.833333333333334,0,0,6,8,6,15.5,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Meal preparation assistants,"Unskilled workers in extractive industry, construction, manufacturing and transport",Yes,No,No,Yes,Female,No,19,No,0,7,12,5,11.8,0,0,7,9,6,11.708333333333334,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Yes,No,No,Yes,Female,No,18,No,0,6,7,6,12.571428571428571,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,3,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,Yes,No,No,Yes,Female,No,18,No,0,5,7,3,12.0,0,0,5,7,4,13.25,1,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,3,Nursing,Daytime,Secondary education,Portuguese,Higher Education - Degree,Higher Education - Degree,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,No,No,Yes,Male,No,19,No,0,7,8,7,13.3625,0,0,8,9,8,14.444444444444445,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,Dutch,Higher Education - Degree,Higher Education - Degree,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Yes,No,No,Yes,Female,Yes,19,Yes,0,5,6,5,15.4,0,0,5,5,5,16.0,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,No,Yes,No,Female,No,18,No,0,6,9,5,12.2,0,0,6,9,4,11.75,0,10.8,1.4,1.74,Dropout
single,Change of institution/course,1,Social Service,Daytime,Technological specialization course,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Yes,No,No,Yes,Female,Yes,20,No,6,11,11,11,12.818181818181818,0,6,11,11,11,13.545454545454543,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,5,Nursing,Daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,Yes,No,No,Yes,Female,No,19,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Dropout
single,Transfer,1,Nursing,Daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Yes,No,No,Yes,Female,No,28,No,12,17,21,17,13.394736842105264,0,11,17,19,17,13.554736842105264,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,Yes,20,No,0,6,8,6,14.25,0,0,6,8,6,11.0,0,12.7,3.7,-1.7,Graduate
single,Transfer,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Other Situation,"Skilled Workers in Industry, Construction and Craftsmen",Yes,No,No,Yes,Female,No,30,No,9,11,19,9,13.444444444444445,1,5,7,7,7,14.714285714285714,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,No,No,Yes,Female,Yes,19,No,0,7,8,7,12.285714285714286,0,0,8,10,8,11.7375,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,Communication Design,Daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Yes,No,No,Yes,Female,No,22,No,0,6,7,6,11.666666666666666,0,0,6,7,5,13.2,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,Yes,No,No,Yes,Female,No,18,No,0,6,8,6,12.166666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,23,No,0,6,11,2,10.0,0,0,6,15,2,11.0,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,4,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Yes,No,No,Yes,Female,No,18,No,0,6,6,6,14.0,0,0,6,6,6,15.0,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,No,No,Yes,Female,No,18,No,0,6,9,5,11.833333333333334,0,0,6,6,4,12.0,0,15.5,2.8,-4.06,Enrolled
married,Over 23 years old,1,Journalism and Communication,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,No,No,Yes,No,Male,No,50,No,0,6,7,1,15.0,0,0,5,12,0,0.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Brazilian,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",Yes,No,No,Yes,Female,Yes,19,Yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,Brazilian,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,22,Yes,0,6,7,6,10.833333333333334,0,0,6,6,6,10.666666666666666,0,13.9,-0.3,0.79,Graduate
single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,Brazilian,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,No,Yes,Yes,Female,Yes,23,Yes,3,6,7,6,13.142857142857142,0,2,6,6,6,14.0,0,12.4,0.5,1.79,Graduate
single,3rd phase - general contingent,4,Veterinary Nursing,Daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",No,No,Yes,No,Female,Yes,20,No,2,5,8,5,14.4,1,0,5,6,5,14.0,0,12.7,3.7,-1.7,Dropout
divorced,Over 23 years old,1,Social Service,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,No,No,No,No,Female,No,44,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
divorced,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,49,No,6,12,17,7,12.0,0,3,12,19,9,11.22222222222222,0,15.5,2.8,-4.06,Graduate
married,Change of course,1,Management (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,46,No,6,10,13,9,12.2,0,4,10,12,10,12.8,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,1,Veterinary Nursing,Daytime,Technological specialization course,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,Yes,No,No,No,Male,No,41,No,3,3,3,3,12.333333333333334,0,2,2,2,2,11.0,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,3,Nursing,Daytime,Secondary education,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Yes,No,No,Yes,Male,No,18,No,0,7,8,7,11.8375,0,0,8,9,8,12.48125,0,13.9,-0.3,0.79,Graduate
widower,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,No,No,Yes,Male,No,43,No,0,5,5,5,11.8,0,0,5,6,5,14.0,0,9.4,-0.8,-3.12,Graduate
divorced,Over 23 years old,2,Management,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",No,No,Yes,No,Male,No,70,No,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout
divorced,Over 23 years old,1,Equinculture,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Administrative staff,No,No,No,Yes,Male,No,48,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
married,Change of course,1,Agronomy,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",No,No,No,Yes,Male,No,41,No,18,19,19,19,12.68421052631579,0,12,13,13,13,12.384615384615383,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,No,No,No,Yes,Male,No,21,No,0,6,8,6,12.571428571428571,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,Enrolled
single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,Brazilian,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,No,No,Yes,No,Male,No,35,Yes,0,7,18,3,11.25,0,0,7,7,0,0.0,0,16.2,0.3,-0.92,Dropout
married,Over 23 years old,1,Equinculture,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,Yes,No,No,Yes,Male,No,44,No,1,5,13,4,14.0,3,1,5,9,4,15.5,2,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,Management,Daytime,Secondary education,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,No,Yes,Yes,Male,No,18,No,0,5,15,4,13.333333333333334,0,0,5,6,2,13.5,0,13.9,-0.3,0.79,Dropout
married,1st phase - general contingent,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,Yes,No,No,Yes,Male,No,45,No,0,6,7,6,13.666666666666666,0,0,6,6,6,13.666666666666666,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,No,No,Yes,Male,No,20,No,0,6,12,3,10.0,0,0,6,9,5,10.8,0,15.5,2.8,-4.06,Enrolled
single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Yes,No,No,Yes,Male,No,22,No,0,6,12,5,12.6,0,0,6,11,6,11.714285714285714,0,12.4,0.5,1.79,Graduate
single,Change of course,1,Informatics Engineering,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",No,No,No,Yes,Male,No,39,No,0,5,10,3,17.333333333333332,0,0,5,11,1,17.0,0,13.9,-0.3,0.79,Dropout
single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,No,No,No,Male,No,20,No,2,6,10,5,13.2,0,1,6,21,3,12.0,0,12.4,0.5,1.79,Enrolled
married,Over 23 years old,1,Management,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,No,No,No,Yes,Male,No,49,No,0,5,9,3,14.0,0,0,5,8,3,13.666666666666666,0,8.9,1.4,3.51,Dropout
single,Holders of other higher courses,1,Oral Hygiene,Daytime,Higher education - master's,Portuguese,Higher Education - Doctorate,Higher Education - Doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Yes,No,No,Yes,Male,No,43,No,4,4,4,4,13.875,0,1,1,1,1,12.5,0,11.1,0.6,2.02,Dropout
married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Male,No,32,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Over 23 years old,1,Social Service,Daytime,Other - 11th year of schooling,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,47,No,3,9,9,9,13.11111111111111,0,3,7,7,7,14.857142857142858,0,10.8,1.4,1.74,Graduate
facto union,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,Yes,37,No,0,5,8,5,13.0,0,0,5,11,4,13.333333333333334,2,16.2,0.3,-0.92,Dropout
married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Installation and Machine Operators and Assembly Workers,No,No,No,Yes,Male,No,41,No,6,10,10,10,12.5,0,3,7,7,7,12.142857142857142,0,10.8,1.4,1.74,Graduate
married,Over 23 years old,1,Agronomy,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,No,No,Yes,Male,No,60,No,17,18,18,18,14.11111111111111,0,11,13,13,13,14.23076923076923,0,15.5,2.8,-4.06,Graduate
married,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,47,No,6,11,11,11,14.727272727272728,0,6,9,9,9,15.77777777777778,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,7th Year (Old),Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",No,No,Yes,No,Male,No,50,No,0,6,6,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Dropout
married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Other Situation,Other Situation,Yes,No,No,Yes,Male,No,45,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Over 23 years old,1,Informatics Engineering,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,No,No,Yes,No,Male,No,45,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
married,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,No,No,No,Yes,Male,No,33,No,0,5,7,4,13.5,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,No,No,Yes,Male,No,18,No,0,8,8,7,13.105714285714283,0,0,8,8,7,13.105714285714283,0,10.8,1.4,1.74,Graduate
married,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,No,No,Yes,Male,No,43,No,0,5,8,5,13.5,2,0,5,5,5,14.4,0,9.4,-0.8,-3.12,Graduate
single,Change of course,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Armed Forces Professions,No,No,No,Yes,Male,No,44,No,9,13,18,13,11.846153846153848,0,9,11,11,11,12.0,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,1,Equinculture,Daytime,12th year of schooling - not completed,Portuguese,Unknown,Can read without having a 4th year of schooling,Student,Other Situation,No,No,No,Yes,Male,No,29,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
divorced,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,No,No,Yes,No,Male,No,53,No,0,6,11,3,14.333333333333334,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout
married,Transfer,1,Management (evening attendance),Evening,Frequency of higher education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,37,No,0,5,10,5,15.8,0,0,5,5,5,17.6,0,9.4,-0.8,-3.12,Enrolled
single,Change of course,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Armed Forces Professions,Yes,No,No,Yes,Male,No,18,No,0,6,16,5,13.8,0,0,6,7,5,12.4,0,13.9,-0.3,0.79,Enrolled
single,Change of course,1,Biofuel Production Technologies,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Administrative staff,No,No,Yes,Yes,Male,No,35,No,3,10,18,6,12.666666666666666,0,1,9,11,3,12.0,2,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",No,No,No,Yes,Male,No,23,No,0,6,10,6,13.0,0,0,6,9,6,12.0,0,11.1,0.6,2.02,Enrolled
single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Yes,No,No,Yes,Male,No,22,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,"Personal Services, Security and Safety Workers and Sellers",No,No,No,No,Male,No,33,No,0,6,6,1,11.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Holders of other higher courses,3,Equinculture,Daytime,Higher education - degree,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,7th year of schooling,Other Situation,Armed Forces Professions,No,No,No,No,Male,No,41,No,0,5,9,0,0.0,4,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout
divorced,Holders of other higher courses,1,Nursing,Daytime,Higher education - degree,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",No,No,No,Yes,Male,No,51,No,4,7,7,7,15.2,0,6,8,8,8,16.575,0,13.9,-0.3,0.79,Graduate
single,Change of institution/course,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Other - 11th Year of Schooling,Higher Education - Doctorate,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,No,No,Yes,Male,No,19,No,2,6,7,6,14.428571428571429,0,1,7,8,7,14.375,0,11.1,0.6,2.02,Graduate
single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,35,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,Brazilian,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Yes,No,No,Yes,Male,No,20,Yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate
single,Change of course,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Higher Education - Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Yes,No,No,Yes,Male,No,18,No,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,Enrolled
